# Wordlist

# DATA
ID	DOCULECT	CONCEPT	COUNTERPART	IPA	TOKENS	COGID	ALIGNMENT
1027	German	*flaiskaz	Fleisch	flaiʃ	f l ai ʃ	282	f l ai ʃ - - -
1028	English	*flaiskaz	flesh	flɛʃ	f l ɛ ʃ	282	f l ɛ ʃ - - -
1029	Dutch	*flaiskaz	vlees	vleːs	v l eː s	282	v l eː s - - -
#
48	Proto-Germanic	*flaskō	*flaskō	flaskoː	f l a s k oː	14	f l a s k oː
49	German	*flaskō	Flasche	flaʃə	f l a ʃ ə	14	f l a ʃ - ə
50	English	*flaskō	flask	flɑːsk	f l ɑː s k	14	f l ɑː s k -
#
970	Proto-Germanic	*flauxz	*flauxz	flauxz	f l au x z	267	f l au x z
971	German	*flauxz	Floh	floː	f l oː	267	f l oː - -
972	English	*flauxz	flea	fliː	f l iː	267	f l iː - -
973	Dutch	*flauxz	vlo	vloː	v l oː	267	v l oː - -
#
1808	Proto-Germanic	*flaxsan	*flaxsan	flaxsan	f l a x s a n	496	f l a x s a n
1809	German	*flaxsan	Flachs	flaks	f l a k s	496	f l a k s - -
1810	English	*flaxsan	flax	flæks	f l æ k s	496	f l æ k s - -
1811	Dutch	*flaxsan	vlas	vlɑs	v l ɑ s	496	v l ɑ - s - -
#
1107	Proto-Germanic	*fleuganan	*fleuganan	fleuganan	f l eu g a n a n	304	f l eu g a n a n
1108	German	*fleuganan	fliegen	fliːɡən	f l iː ɡ ə n	304	f l iː ɡ ə - - n
1109	English	*fleuganan	fly	flaɪ	f l aɪ	304	f l aɪ - - - - -
1110	Dutch	*fleuganan	vliegen	vliːɣə	v l iː ɣ ə	304	v l iː ɣ ə - - -
#
1225	Proto-Germanic	*fleuxanan	*fleuxanan	fleuxanan	f l eu x a n a n	337	f l eu x a n a n
1226	German	*fleuxanan	fliehen	fliːən	f l iːə n	337	f l iːə - - - - n
1227	English	*fleuxanan	flee	fliː	f l iː	337	f l iː - - - - -
1228	Dutch	*fleuxanan	vlieden	vliːdə	v l iː d ə	337	v l iː d ə - - -
#
1642	Proto-Germanic	*flextanan	*flextanan	flextanan	f l e x t a n a n	451	f l e x t a n a n
1643	German	*flextanan	flechten	flɛxtən	f l ɛ x t ə n	451	f l ɛ x t ə - - n
1644	Dutch	*flextanan	vlechten	vlɛxtə	v l ɛ x t ə	451	v l ɛ x t ə - - -
#
1409	Proto-Germanic	*flōduz	*flōduz	floːduz	f l oː d u z	386	f l oː d u z
1410	German	*flōduz	Flut	fluːt	f l uː t	386	f l uː t - -
1411	English	*flōduz	flood	flʌd	f l ʌ d	386	f l ʌ d - -
1412	Dutch	*flōduz	vloed	vluːt	v l uː t	386	v l uː t - -
#
923	Proto-Germanic	*freusanan	*freusanan	freusanan	f r eu s a n a n	254	f r eu s a n a n
924	German	*freusanan	frieren	friːrən	f r iː r ə n	254	f r iː r ə - - n
925	English	*freusanan	freeze	friːz	f r iː z	254	f r iː z - - - -
926	Dutch	*freusanan	vriezen	vriːzə	v r iː z ə	254	v r iː z ə - - -
#
1689	Proto-Germanic	*frijōndz	*frijōndz	frijoːndz	f r i j oː n d z	463	f r i j oː n d z
1690	German	*frijōndz	Freund	frɔynt	f r ɔy n t	463	f r ɔy - - n t -
1691	English	*frijōndz	friend	frɛnd	f r ɛ n d	463	f r ɛ - - n d -
1692	Dutch	*frijōndz	vriend	vriːnt	v r iː n t	463	v r iː - - n t -
#
453	Proto-Germanic	*frustan	*frustan	frustan	f r u s t a n	125	f r u - s t a n
454	German	*frustan	Frost	frɔst	f r ɔ s t	125	f r ɔ - s t - -
455	English	*frustan	frost	frɔst	f r ɔ s t	125	f r ɔ - s t - -
456	Dutch	*frustan	vorst	vɔrst	v ɔ r s t	125	v - ɔ r s t - -
#
1831	Proto-Germanic	*fuglaz	*fuglaz	fuglaz	f u g l a z	502	f u g - l a z
1832	German	*fuglaz	Vogel	foːɡəl	f oː ɡ ə l	502	f oː ɡ ə l - -
1833	English	*fuglaz	fowl	faʊl	f aʊ l	502	f aʊ - - l - -
1834	Dutch	*fuglaz	vogel	voːɣəl	v oː ɣ ə l	502	v oː ɣ ə l - -
#
1884	Proto-Germanic	*fulgēnan	*fulgēnan	fulgeːnan	f u l g eː n a n	517	f u l g eː n a n
1885	German	*fulgēnan	folgen	fɔlɡən	f ɔ l ɡ ə n	517	f ɔ l ɡ ə - - n
1886	English	*fulgēnan	follow	fɔləʊ	f ɔ l əʊ	517	f ɔ l - əʊ - - -
1887	Dutch	*fulgēnan	volgen	vɔlɣə	v ɔ l ɣ ə	517	v ɔ l ɣ ə - - -
#
776	Proto-Germanic	*fulkan	*fulkan	fulkan	f u l k a n	213	f u l k a n
777	German	*fulkan	Volk	fɔlk	f ɔ l k	213	f ɔ l k - -
778	English	*fulkan	folk	fəʊk	f əʊ k	213	f əʊ - k - -
779	Dutch	*fulkan	volk	vɔlk	v ɔ l k	213	v ɔ l k - -
#
1447	Proto-Germanic	*fulōn	*fulōn	fuloːn	f u l oː n	396	f u l oː n
1448	German	*fulōn	Fohlen	foːlən	f oː l ə n	396	f oː l ə n
1449	English	*fulōn	foal	fəʊl	f əʊ l	396	f əʊ l - -
#
1827	Proto-Germanic	*funxwstiz	*funxwstiz	funxwstiz	f u n x w s t i z	501	f u n x w s t i z
1828	German	*funxwstiz	Faust	faust	f au s t	501	f au - - - s t - -
1829	English	*funxwstiz	fist	fɪst	f ɪ s t	501	f ɪ - - - s t - -
1830	Dutch	*funxwstiz	vuist	vœyst	v œy s t	501	v œy - - - s t - -
#
1480	Proto-Germanic	*furxtīn	*furxtīn	furxtiːn	f u r x t iː n	406	f u r x t iː n
1481	German	*furxtīn	Furcht	fʊrxt	f ʊ r x t	406	f ʊ r x t - -
1482	English	*furxtīn	fright	fraɪt	f r aɪ t	406	f - r - - aɪ t
#
953	Proto-Germanic	*furxō	*furxō	furxoː	f u r x oː	262	f u r x oː
954	German	*furxō	Furche	fʊrxə	f ʊ r x ə	262	f ʊ r x ə
955	English	*furxō	furrow	fʌrəʊ	f ʌ r əʊ	262	f ʌ r - əʊ
956	Dutch	*furxō	voor	voːr	v oː r	262	v oː r - -
#
1585	Proto-Germanic	*fuwer	*fuwer	fuwer	f u w e r	435	f u w e r
1586	German	*fuwer	Feuer	fɔyər	f ɔyə r	435	f ɔyə - - r
1587	English	*fuwer	fire	faɪər	f aɪə r	435	f aɪə - - r
1588	Dutch	*fuwer	vuur	vyːr	v yː r	435	v yː - - r
#
339	Proto-Germanic	*fuxsaz	*fuxsaz	fuxsaz	f u x s a z	94	f u x s a z
340	German	*fuxsaz	Fuchs	fʊks	f ʊ k s	94	f ʊ k - - s
341	English	*fuxsaz	fox	fɔks	f ɔ k s	94	f ɔ k - - s
342	Dutch	*fuxsaz	vos	vɔs	v ɔ s	94	v ɔ - - - s
#
885	Proto-Germanic	*fōdran	*fōdran	foːdran	f oː d r a n	244	f oː d - r a n
886	German	*fōdran	Futter	fʊtər	f ʊ t ə r	244	f ʊ t ə r - -
887	English	*fōdran	fodder	fɔdər	f ɔ d ə r	244	f ɔ d ə r - -
888	Dutch	*fōdran	voer	vuːr	v uː r	244	v uː - - r - -
#
16	Proto-Germanic	*gaistaz	*gaistaz	gaistaz	g ai s t a z	5	g ai s t a z
17	German	*gaistaz	Geist	ɡaist	ɡ ai s t	5	ɡ ai s t - -
18	English	*gaistaz	ghost	ɡəʊst	ɡ əʊ s t	5	ɡ əʊ s t - -
#
745	Proto-Germanic	*gallan	*gallan	gallan	g a ll a n	205	g a ll a n
746	German	*gallan	Galle	ɡalə	ɡ a l ə	205	ɡ a l ə -
747	English	*gallan	gall	ɡɔːl	ɡ ɔː l	205	ɡ ɔː l - -
748	Dutch	*gallan	gal	xɑl	x ɑ l	205	x ɑ l - -
#
198	Proto-Germanic	*gangaz	*gangaz	gangaz	g a n g a z	56	g a n g a z
199	German	*gangaz	Gang	ɡaŋ	ɡ a ŋ	56	ɡ a ŋ - - -
200	English	*gangaz	gang	ɡæŋ	ɡ æ ŋ	56	ɡ æ ŋ - - -
201	Dutch	*gangaz	gang	xɑŋ	x ɑ ŋ	56	x ɑ ŋ - - -
#
1291	Proto-Germanic	*gansz	*gansz	gansz	g a n s z	355	g a n s z
1292	German	*gansz	Gans	ɡans	ɡ a n s	355	ɡ a n - s
1293	English	*gansz	goose	ɡuːs	ɡ uː s	355	ɡ uː - - s
1294	Dutch	*gansz	gans	xɑns	x ɑ n s	355	x ɑ n - s
#
561	Proto-Germanic	*garnan	*garnan	garnan	g a r n a n	154	g a r n a n
562	German	*garnan	Garn	ɡarn	ɡ a r n	154	ɡ a r - - n
563	English	*garnan	yarn	jɑːn	j ɑː n	154	j ɑː - - - n
564	Dutch	*garnan	garen	xaːrə	x aː r ə	154	x aː r - ə -
#
1613	Proto-Germanic	*gastiz	*gastiz	gastiz	g a s t i z	443	g a s t i z
1614	German	*gastiz	Gast	ɡast	ɡ a s t	443	ɡ a s t - -
1615	English	*gastiz	guest	ɡɛst	ɡ ɛ s t	443	ɡ ɛ s t - -
1616	Dutch	*gastiz	gast	xɑst	x ɑ s t	443	x ɑ s t - -
#
749	Proto-Germanic	*gebanan	*gebanan	gebanan	g e b a n a n	206	g e b a n a n
750	German	*gebanan	geben	ɡeːbən	ɡ eː b ə n	206	ɡ eː b ə - - n
751	English	*gebanan	give	ɡɪv	ɡ ɪ v	206	ɡ ɪ v - - - -
752	Dutch	*gebanan	geven	xeːvə	x eː v ə	206	x eː v ə - - -
#
618	Proto-Germanic	*geftiz	*geftiz	geftiz	g e f t i z	171	g e f t i z
619	German	*geftiz	Gift	ɡɪft	ɡ ɪ f t	171	ɡ ɪ f t - -
620	English	*geftiz	gift	ɡɪft	ɡ ɪ f t	171	ɡ ɪ f t - -
621	Dutch	*geftiz	gift	xɪft	x ɪ f t	171	x ɪ f t - -
#
1137	Proto-Germanic	*geldanan	*geldanan	geldanan	g e l d a n a n	312	g e l d a n a n
1138	German	*geldanan	gelten	ɡɛltən	ɡ ɛ l t ə n	312	ɡ ɛ l t ə - - n
1139	Dutch	*geldanan	gelden	xɛldə	x ɛ l d ə	312	x ɛ l d ə - - -
#
1151	Proto-Germanic	*gennanan	*gennanan	gennanan	g e nn a n a n	316	g e nn a n a n
1152	German	*gennanan	beginnen	bəɡɪnən	b ə ɡ ɪ n ə n	316	b ə ɡ ɪ n ə n
1153	English	*gennanan	begin	bɪɡɪn	b ɪ ɡ ɪ n	316	b ɪ ɡ ɪ - - n
1154	Dutch	*gennanan	beginnen	bəɣɪnə	b ə ɣ ɪ n ə	316	b ə ɣ ɪ n ə -
#
1477	Proto-Germanic	*glōdiz	*glōdiz	gloːdiz	g l oː d i z	405	g l oː d i z
1478	German	*glōdiz	Glut	ɡluːt	ɡ l uː t	405	ɡ l uː t - -
1479	Dutch	*glōdiz	gloed	xluːt	x l uː t	405	x l uː t - -
#
131	Proto-Germanic	*grabanan	*grabanan	grabanan	g r a b a n a n	37	g r a b a n a n
132	German	*grabanan	graben	ɡraːbən	ɡ r aː b ə n	37	ɡ r aː b ə - - n
133	English	*grabanan	grave	ɡrɑːv	ɡ r ɑː v	37	ɡ r ɑː v - - - -
134	Dutch	*grabanan	graven	xraːvə	x r aː v ə	37	x r aː v ə - - -
#
788	Proto-Germanic	*grasan	*grasan	grasan	g r a s a n	216	g r a s a n
789	German	*grasan	Gras	ɡraːs	ɡ r aː s	216	ɡ r aː s - -
790	English	*grasan	grass	ɡrɑːs	ɡ r ɑː s	216	ɡ r ɑː s - -
791	Dutch	*grasan	gras	xrɑs	x r ɑ s	216	x r ɑ s - -
#
97	Proto-Germanic	*grunduz	*grunduz	grunduz	g r u n d u z	28	g r u n d u z
98	German	*grunduz	Grund	ɡrʊnt	ɡ r ʊ n t	28	ɡ r ʊ n t - -
99	English	*grunduz	ground	ɡraʊnd	ɡ r aʊ n d	28	ɡ r aʊ n d - -
100	Dutch	*grunduz	grond	xrɔnt	x r ɔ n t	28	x r ɔ n t - -
#
240	Proto-Germanic	*grīpanan	*grīpanan	griːpanan	g r iː p a n a n	67	g r iː p a n a n
241	German	*grīpanan	greifen	ɡraifən	ɡ r ai f ə n	67	ɡ r ai f ə - - n
242	English	*grīpanan	gripe	ɡraɪp	ɡ r aɪ p	67	ɡ r aɪ p - - - -
243	Dutch	*grīpanan	grijpen	xrɛɪpə	x r ɛɪ p ə	67	x r ɛɪ p ə - - -
#
145	Proto-Germanic	*grōbō	*grōbō	groːboː	g r oː b oː	41	g r oː b oː
146	German	*grōbō	Grube	ɡruːbə	ɡ r uː b ə	41	ɡ r uː b ə
147	Dutch	*grōbō	groeve	xruːvə	x r uː v ə	41	x r uː v ə
#
1873	Proto-Germanic	*gud	*gud	gud	g u d	514	g u d
1874	German	*gud	Gott	ɡɔt	ɡ ɔ t	514	ɡ ɔ t
1875	English	*gud	god	ɡɔd	ɡ ɔ d	514	ɡ ɔ d
1876	Dutch	*gud	god	xɔt	x ɔ t	514	x ɔ t
#
1855	Proto-Germanic	*gudaz	*gudaz	gudaz	g u d a z	509	- - g u d a z
1856	German	*gudaz	Abgott	apɡɔt	a p ɡ ɔ t	509	a p ɡ ɔ t - -
1857	Dutch	*gudaz	afgod	ɑfxɔt	ɑ f x ɔ t	509	ɑ f x ɔ t - -
#
1086	Proto-Germanic	*gulθan	*gulθan	gulθan	g u l θ a n	298	g u l θ a n
1087	German	*gulθan	Gold	ɡɔlt	ɡ ɔ l t	298	ɡ ɔ l t - -
1088	English	*gulθan	gold	ɡəʊld	ɡ əʊ l d	298	ɡ əʊ l d - -
1089	Dutch	*gulθan	goud	xɑut	x ɑu t	298	x ɑu - t - -
#
1199	Proto-Germanic	*igilaz/igulaz	*igilaz/igulaz	igilaz/igulaz	i g i l a z / i g u l a z	329	i g i l a z / i g u l a z
1200	German	*igilaz/igulaz	Igel	iːɡəl	iː ɡ ə l	329	iː ɡ ə l - - - - - - - - -
1201	Dutch	*igilaz/igulaz	egel	eːɣəl	eː ɣ ə l	329	eː ɣ ə l - - - - - - - - -
#
867	Proto-Germanic	*jugunθiz	*jugunθiz	jugunθiz	j u g u n θ i z	239	j u g u n θ i z
868	German	*jugunθiz	Jugend	juːɡənt	j uː ɡ ə n t	239	j uː ɡ ə n t - -
869	English	*jugunθiz	youth	juːθ	j uː θ	239	j uː - - - θ - -
870	Dutch	*jugunθiz	jeugd	jøːxt	j øː x t	239	j øː x - - t - -
#
828	Proto-Germanic	*jukan	*jukan	jukan	j u k a n	228	j u k a n
829	German	*jukan	Joch	jɔx	j ɔ x	228	j ɔ x - -
830	English	*jukan	yoke	jəʊk	j əʊ k	228	j əʊ k - -
831	Dutch	*jukan	juk	jʉk	j ʉ k	228	j ʉ k - -
#
1845	Proto-Germanic	*jēmraz	*jēmraz	jeːmraz	j eː m r a z	506	j eː m r a z
1846	German	*jēmraz	Jammer	jamər	j a m ə r	506	j a m - ə r
1847	Dutch	*jēmraz	jammer	jɑmər	j ɑ m ə r	506	j ɑ m - ə r
#
1019	Proto-Germanic	*jēran	*jēran	jeːran	j eː r a n	280	j eː r a n
1020	German	*jēran	Jahr	jaːr	j aː r	280	j aː r - -
1021	English	*jēran	year	jɪər	j ɪə r	280	j ɪə r - -
1022	Dutch	*jēran	jaar	jaːr	j aː r	280	j aː r - -
#
190	Proto-Germanic	*kalbaz	*kalbaz	kalbaz	k a l b a z	54	k a l b a z
191	German	*kalbaz	Kalb	kalp	k a l p	54	k a l p - -
192	English	*kalbaz	calf	kɑːf	k ɑː f	54	k ɑː - f - -
193	Dutch	*kalbaz	kalf	kɑlf	k ɑ l f	54	k ɑ l f - -
#
1677	Proto-Germanic	*kambaz	*kambaz	kambaz	k a m b a z	460	k a m b a z
1678	German	*kambaz	Kamm	kam	k a m	460	k a m - - -
1679	English	*kambaz	comb	kəʊm	k əʊ m	460	k əʊ m - - -
1680	Dutch	*kambaz	kam	kɑm	k ɑ m	460	k ɑ m - - -
#
421	Proto-Germanic	*kernōn	*kernōn	kernoːn	k e r n oː n	116	k e r n oː n
422	German	*kernōn	Kern	kɛrn	k ɛ r n	116	k ɛ r - - n
423	Dutch	*kernōn	kern	kɛrn	k ɛ r n	116	k ɛ r - - n
#
990	Proto-Germanic	*kewwanan	*kewwanan	kewwanan	k e ww a n a n	272	k e ww a n a n
991	German	*kewwanan	kauen	kauən	k auə n	272	k auə - - - - n
992	English	*kewwanan	chew	ʧuː	ʧ uː	272	ʧ uː - - - - -
993	Dutch	*kewwanan	kauwen	kɑuʋə	k ɑu ʋ ə	272	k ɑu ʋ ə - - -
#
554	Proto-Germanic	*klembanan	*klembanan	klembanan	k l e m b a n a n	152	k l e m b a n a n
555	German	*klembanan	klimmen	klɪmən	k l ɪ m ə n	152	k l ɪ m - - - ə n
556	English	*klembanan	climb	klaɪm	k l aɪ m	152	k l aɪ m - - - - -
557	Dutch	*klembanan	klimmen	klɪmə	k l ɪ m ə	152	k l ɪ m - - - ə -
#
1521	Proto-Germanic	*klibēnan	*klibēnan	klibeːnan	k l i b eː n a n	417	k l i b eː n a n
1522	German	*klibēnan	kleben	kleːbən	k l eː b ə n	417	k l eː b ə - - n
1523	Dutch	*klibēnan	kleven	kleːvə	k l eː v ə	417	k l eː v ə - - -
#
148	Proto-Germanic	*knabilaz	*knabilaz	knabilaz	k n a b i l a z	42	k n a b i l a z
149	German	*knabilaz	Knebel	kneːbəl	k n eː b ə l	42	k n eː b ə l - -
150	Dutch	*knabilaz	knevel	kneːvəl	k n eː v ə l	42	k n eː v ə l - -
#
768	Proto-Germanic	*knakkaz	*knakkaz	knakkaz	k n a kk a z	211	k n a kk a z
769	German	*knakkaz	Knecht	knɛxt	k n ɛ x t	211	k n ɛ x - t
770	English	*knakkaz	knight	naɪt	n aɪ t	211	- n aɪ - - t
771	Dutch	*knakkaz	knecht	knɛxt	k n ɛ x t	211	k n ɛ x - t
#
1835	Proto-Germanic	*knedanan	*knedanan	knedanan	k n e d a n a n	503	k n e d a n a n
1836	German	*knedanan	kneten	kneːtən	k n eː t ə n	503	k n eː t ə - - n
1837	English	*knedanan	knead	niːd	n iː d	503	- n iː d - - - -
1838	Dutch	*knedanan	kneden	kneːdə	k n eː d ə	503	k n eː d ə - - -
#
905	Proto-Germanic	*knewan	*knewan	knewan	k n e w a n	249	k n e w a n
906	German	*knewan	Knie	kniː	k n iː	249	k n iː - - -
907	English	*knewan	knee	niː	n iː	249	- n iː - - -
908	Dutch	*knewan	knie	kniː	k n iː	249	k n iː - - -
#
536	Proto-Germanic	*knuppaz	*knuppaz	knuppaz	k n u pp a z	147	k n u pp a z
537	German	*knuppaz	Knopf	knɔp͡f	k n ɔ p͡f	147	k n ɔ p͡f - -
538	English	*knuppaz	knob	nɔb	n ɔ b	147	- n ɔ b - -
539	Dutch	*knuppaz	knoop	knoːp	k n oː p	147	k n oː p - -
#
1505	Proto-Germanic	*kraftiz	*kraftiz	kraftiz	k r a f t i z	413	k r a f t i z
1506	German	*kraftiz	Kraft	kraft	k r a f t	413	k r a f t - -
1507	English	*kraftiz	craft	krɑːft	k r ɑː f t	413	k r ɑː f t - -
1508	Dutch	*kraftiz	kracht	krɑxt	k r ɑ x t	413	k r ɑ x t - -
#
878	Proto-Germanic	*kruppaz	*kruppaz	kruppaz	k r u pp a z	242	k r u pp a z
879	German	*kruppaz	Kropf	krɔp͡f	k r ɔ p͡f	242	k r ɔ p͡f - -
880	English	*kruppaz	crop	krɔp	k r ɔ p	242	k r ɔ p - -
881	Dutch	*kruppaz	krop	krɔp	k r ɔ p	242	k r ɔ p - -
#
5	Proto-Germanic	*kurnan	*kurnan	kurnan	k u r n a n	2	k u r n a n
6	German	*kurnan	Korn	kɔrn	k ɔ r n	2	k ɔ r - - n
7	English	*kurnan	corn	kɔːn	k ɔː n	2	k ɔː - - - n
8	Dutch	*kurnan	koren	koːrə	k oː r ə	2	k oː r - ə -
#
598	Proto-Germanic	*kwalō	*kwalō	kwaloː	k w a l oː	165	k w a l oː
599	German	*kwalō	Qual	kvaːl	k v aː l	165	k v aː l -
600	Dutch	*kwalō	kwaal	kʋaːl	k ʋ aː l	165	k ʋ aː l -
#
1244	Proto-Germanic	*kwiθuz	*kwiθuz	kwiθuz	k w i θ u z	342	k w i θ u z
1245	German	*kwiθuz	Kitt	kɪt	k ɪ t	342	k - ɪ t - -
1246	English	*kwiθuz	cud	kʌd	k ʌ d	342	k - ʌ d - -
1247	Dutch	*kwiθuz	kit	kɪt	k ɪ t	342	k - ɪ t - -
#
1090	Proto-Germanic	*kōwz	*kōwz	koːwz	k oː w z	299	k oː w z
1091	German	*kōwz	Kuh	kuː	k uː	299	k uː - -
1092	English	*kōwz	cow	kaʊ	k aʊ	299	k aʊ - -
1093	Dutch	*kōwz	koe	kuː	k uː	299	k uː - -
#
1551	Proto-Germanic	*labbaz	*labbaz	labbaz	l a bb a z	426	l a bb a z
1552	German	*labbaz	Lappen	lapən	l a p ə n	426	l a p ə n
1553	English	*labbaz	lap	læp	l æ p	426	l æ p - -
1554	Dutch	*labbaz	lap	lɑp	l ɑ p	426	l ɑ p - -
#
1743	Proto-Germanic	*laidjanan	*laidjanan	laidjanan	l ai d j a n a n	478	l ai d j a n a n
1744	German	*laidjanan	leiten	laitən	l ai t ə n	478	l ai t - - - ə n
1745	English	*laidjanan	lead	liːd	l iː d	478	l iː d - - - - -
1746	Dutch	*laidjanan	leiden	lɛɪdə	l ɛɪ d ə	478	l ɛɪ d - - - ə -
#
901	Proto-Germanic	*laimōn	*laimōn	laimoːn	l ai m oː n	248	l ai m oː n
902	German	*laimōn	Lehm	leːm	l eː m	248	l eː m - -
903	English	*laimōn	loam	ləʊm	l əʊ m	248	l əʊ m - -
904	Dutch	*laimōn	leem	leːm	l eː m	248	l eː m - -
#
1703	Proto-Germanic	*laisjanan	*laisjanan	laisjanan	l ai s j a n a n	467	l ai s j a n a n
1704	German	*laisjanan	lehren	leːrən	l eː r ə n	467	l eː r - - - ə n
1705	Dutch	*laisjanan	leren	leːrə	l eː r ə	467	l eː r - - - ə -
#
533	Proto-Germanic	*laistjanan	*laistjanan	laistjanan	l ai s t j a n a n	146	l ai s t j a n a n
534	German	*laistjanan	leisten	laistən	l ai s t ə n	146	l ai s t - - - ə n
535	English	*laistjanan	last	lɑːst	l ɑː s t	146	l ɑː s t - - - - -
#
255	Proto-Germanic	*laiθaz	*laiθaz	laiθaz	l ai θ a z	71	l ai θ a z
256	German	*laiθaz	Leid	lait	l ai t	71	l ai t - -
257	English	*laiθaz	loath	ləʊθ	l əʊ θ	71	l əʊ θ - -
258	Dutch	*laiθaz	leed	leːt	l eː t	71	l eː t - -
#
1060	Proto-Germanic	*lakanan	*lakanan	lakanan	l a k a n a n	291	l a k a n a n
1061	German	*lakanan	lachen	laxən	l a x ə n	291	l a x ə - - n
1062	English	*lakanan	laugh	lɑːf	l ɑː f	291	l ɑː f - - - -
1063	Dutch	*lakanan	lachen	lɑxə	l ɑ x ə	291	l ɑ x ə - - -
#
1352	Proto-Germanic	*landan	*landan	landan	l a n d a n	371	l a n d a n
1353	German	*landan	Land	lant	l a n t	371	l a n t - -
1354	English	*landan	land	lænd	l æ n d	371	l æ n d - -
1355	Dutch	*landan	land	lɑnt	l ɑ n t	371	l ɑ n t - -
#
1471	Proto-Germanic	*landīn	*landīn	landiːn	l a n d iː n	403	l a n d iː n
1472	German	*landīn	Lende	lɛndə	l ɛ n d ə	403	l ɛ n d ə -
1473	Dutch	*landīn	lende	lɛndə	l ɛ n d ə	403	l ɛ n d ə -
#
661	Proto-Germanic	*lauban	*lauban	lauban	l au b a n	182	l au b a n
662	German	*lauban	Laub	laup	l au p	182	l au p - -
663	English	*lauban	leaf	liːf	l iː f	182	l iː f - -
664	Dutch	*lauban	loof	loːf	l oː f	182	l oː f - -
#
263	Proto-Germanic	*laubjanan	*laubjanan	laubjanan	l au b j a n a n	73	- - l au b j a n a n
264	German	*laubjanan	glauben	ɡlaubən	ɡ l au b ə n	73	ɡ - l au b - - - ə n
265	English	*laubjanan	believe	bɪliːv	b ɪ l iː v	73	b ɪ l iː v - - - - -
266	Dutch	*laubjanan	geloven	xəloːvə	x ə l oː v ə	73	x ə l oː v - - - ə -
#
368	Proto-Germanic	*laugō	*laugō	laugoː	l au g oː	102	l au g oː
369	German	*laugō	Lauge	lauɡə	l au ɡ ə	102	l au ɡ ə
370	English	*laugō	lye	laɪ	l aɪ	102	l aɪ - -
371	Dutch	*laugō	loog	loːx	l oː x	102	l oː x -
#
784	Proto-Germanic	*laukaz	*laukaz	laukaz	l au k a z	215	l au k a z
785	German	*laukaz	Lauch	laux	l au x	215	l au x - -
786	English	*laukaz	leek	liːk	l iː k	215	l iː k - -
787	Dutch	*laukaz	look	luːk	l uː k	215	l uː k - -
#
1820	Proto-Germanic	*launan	*launan	launan	l au n a n	499	l au n a n
1821	German	*launan	Lohn	loːn	l oː n	499	l oː - - n
1822	Dutch	*launan	loon	loːn	l oː n	499	l oː - - n
#
1045	Proto-Germanic	*laxstran	*laxstran	laxstran	l a x s t r a n	287	l a x s t r a n
1046	German	*laxstran	Laster	lastər	l a s t ə r	287	l a - s t - ə r
1047	Dutch	*laxstran	laster	lɑstər	l ɑ s t ə r	287	l ɑ - s t - ə r
#
402	Proto-Germanic	*laθōjanan	*laθōjanan	laθoːjanan	l a θ oː j a n a n	111	l a θ oː j a n a n
403	German	*laθōjanan	laden	laːdən	l aː d ə n	111	l aː d ə - - - - n
404	English	*laθōjanan	lade	leɪd	l eɪ d	111	l eɪ d - - - - - -
405	Dutch	*laθōjanan	laden	laːdə	l aː d ə	111	l aː d ə - - - - -
#
1724	Proto-Germanic	*lendō	*lendō	lendoː	l e n d oː	473	l e n d oː -
1725	German	*lendō	Linde	lɪndə	l ɪ n d ə	473	l ɪ n d ə -
1726	English	*lendō	linden	lɪndən	l ɪ n d ə n	473	l ɪ n d ə n
1727	Dutch	*lendō	linde	lɪndə	l ɪ n d ə	473	l ɪ n d ə -
#
1842	Proto-Germanic	*lesanan	*lesanan	lesanan	l e s a n a n	505	l e s a n a n
1843	German	*lesanan	lesen	leːzən	l eː z ə n	505	l eː z ə - - n
1844	Dutch	*lesanan	lezen	leːzə	l eː z ə	505	l eː z ə - - -
#
1390	Proto-Germanic	*leusanan	*leusanan	leusanan	l eu s a n a n	381	- - - l eu s a n a n
1391	German	*leusanan	verlieren	fɛrliːrən	f ɛ r l iː r ə n	381	f ɛ r l iː r ə - - n
1392	English	*leusanan	forlorn	fəlɔːn	f ə l ɔː n	381	f ə - l ɔː - - - - n
1393	Dutch	*leusanan	verliezen	vərliːzə	v ə r l iː z ə	381	v ə r l iː z ə - - -
#
525	Proto-Germanic	*leuxtjanan	*leuxtjanan	leuxtjanan	l eu x t j a n a n	144	l eu x t j a n a n
526	German	*leuxtjanan	leuchten	lɔyxtən	l ɔy x t ə n	144	l ɔy x t - - - ə n
527	English	*leuxtjanan	light	laɪt	l aɪ t	144	l aɪ - t - - - - -
528	Dutch	*leuxtjanan	lichten	lɪxtə	l ɪ x t ə	144	l ɪ x t - - - ə -
#
267	Proto-Germanic	*leuθan	*leuθan	leuθan	l eu θ a n	74	l eu θ a n
268	German	*leuθan	Lied	liːt	l iː t	74	l iː t - -
269	Dutch	*leuθan	lied	liːt	l iː t	74	l iː t - -
#
45	Proto-Germanic	*leθran	*leθran	leθran	l e θ r a n	13	l e θ r a n
46	German	*leθran	Leder	leːdər	l eː d ə r	13	l eː d - ə r
47	English	*leθran	leather	lɛðər	l ɛ ð ə r	13	l ɛ ð - ə r
#
210	Proto-Germanic	*librō	*librō	libroː	l i b r oː	59	l i b - r oː
211	German	*librō	Leber	leːbər	l eː b ə r	59	l eː b ə r -
