# Wordlist

# DATA
ID	CONCEPT	TOKENS	IPA	DOCULECT	COUNTERPART	COGID
562	*garnan	ɡ a r n	ɡarn	German	Garn	154
563	*garnan	j ɑː n	jɑːn	English	yarn	154
564	*garnan	x aː r ə	xaːrə	Dutch	garen	154
#
1613	*gastiz	g a s t i z	gastiz	Proto-Germanic	*gastiz	443
1614	*gastiz	ɡ a s t	ɡast	German	Gast	443
1615	*gastiz	ɡ ɛ s t	ɡɛst	English	guest	443
1616	*gastiz	x ɑ s t	xɑst	Dutch	gast	443
#
749	*gebanan	g e b a n	gebanan	Proto-Germanic	*gebanan	206
750	*gebanan	ɡ eː b ə n	ɡeːbən	German	geben	206
751	*gebanan	ɡ ɪ v	ɡɪv	English	give	206
752	*gebanan	x eː v ə	xeːvə	Dutch	geven	206
#
618	*geftiz	g e f t i z	geftiz	Proto-Germanic	*geftiz	171
619	*geftiz	ɡ ɪ f t	ɡɪft	German	Gift	171
620	*geftiz	ɡ ɪ f t	ɡɪft	English	gift	171
621	*geftiz	x ɪ f t	xɪft	Dutch	gift	171
#
1137	*geldanan	g e l d a n	geldanan	Proto-Germanic	*geldanan	312
1138	*geldanan	ɡ ɛ l t ə n	ɡɛltən	German	gelten	312
1139	*geldanan	x ɛ l d ə	xɛldə	Dutch	gelden	312
#
1151	*gennanan	g e nn a n	gennanan	Proto-Germanic	*gennanan	316
1152	*gennanan	b ə ɡ ɪ n ə n	bəɡɪnən	German	beginnen	316
1153	*gennanan	b ɪ ɡ ɪ n	bɪɡɪn	English	begin	316
1154	*gennanan	b ə ɣ ɪ n ə	bəɣɪnə	Dutch	beginnen	316
#
1477	*glōdiz	g l oː d i z	gloːdiz	Proto-Germanic	*glōdiz	405
1478	*glōdiz	ɡ l uː t	ɡluːt	German	Glut	405
1479	*glōdiz	x l uː t	xluːt	Dutch	gloed	405
#
131	*grabanan	g r a b a n	grabanan	Proto-Germanic	*grabanan	37
132	*grabanan	ɡ r aː b ə n	ɡraːbən	German	graben	37
133	*grabanan	ɡ r ɑː v	ɡrɑːv	English	grave	37
134	*grabanan	x r aː v ə	xraːvə	Dutch	graven	37
#
788	*grasan	g r a s	grasan	Proto-Germanic	*grasan	216
789	*grasan	ɡ r aː s	ɡraːs	German	Gras	216
790	*grasan	ɡ r ɑː s	ɡrɑːs	English	grass	216
791	*grasan	x r ɑ s	xrɑs	Dutch	gras	216
#
97	*grunduz	g r u n d u z	grunduz	Proto-Germanic	*grunduz	28
98	*grunduz	ɡ r ʊ n t	ɡrʊnt	German	Grund	28
99	*grunduz	ɡ r aʊ n d	ɡraʊnd	English	ground	28
100	*grunduz	x r ɔ n t	xrɔnt	Dutch	grond	28
#
240	*grīpanan	g r iː p a n	griːpanan	Proto-Germanic	*grīpanan	67
241	*grīpanan	ɡ r ai f ə n	ɡraifən	German	greifen	67
242	*grīpanan	ɡ r aɪ p	ɡraɪp	English	gripe	67
243	*grīpanan	x r ɛɪ p ə	xrɛɪpə	Dutch	grijpen	67
#
145	*grōbō	g r oː b oː	groːboː	Proto-Germanic	*grōbō	41
146	*grōbō	ɡ r uː b ə	ɡruːbə	German	Grube	41
147	*grōbō	x r uː v ə	xruːvə	Dutch	groeve	41
#
1873	*gud	g u d	gud	Proto-Germanic	*gud	514
1874	*gud	ɡ ɔ t	ɡɔt	German	Gott	514
1875	*gud	ɡ ɔ d	ɡɔd	English	god	514
1876	*gud	x ɔ t	xɔt	Dutch	god	514
#
1855	*gudaz	g u d a z	gudaz	Proto-Germanic	*gudaz	509
1856	*gudaz	a p ɡ ɔ t	apɡɔt	German	Abgott	509
1857	*gudaz	ɑ f x ɔ t	ɑfxɔt	Dutch	afgod	509
#
1086	*gulθan	g u l θ	gulθan	Proto-Germanic	*gulθan	298
1087	*gulθan	ɡ ɔ l t	ɡɔlt	German	Gold	298
1088	*gulθan	ɡ əʊ l d	ɡəʊld	English	gold	298
1089	*gulθan	x ɑu t	xɑut	Dutch	goud	298
#
1200	*igilaz/igulaz	iː ɡ ə l	iːɡəl	German	Igel	329
1201	*igilaz/igulaz	eː ɣ ə l	eːɣəl	Dutch	egel	329
#
867	*jugunθiz	j u g u n θ i z	jugunθiz	Proto-Germanic	*jugunθiz	239
868	*jugunθiz	j uː ɡ ə n t	juːɡənt	German	Jugend	239
869	*jugunθiz	j uː θ	juːθ	English	youth	239
870	*jugunθiz	j øː x t	jøːxt	Dutch	jeugd	239
#
828	*jukan	j u k	jukan	Proto-Germanic	*jukan	228
829	*jukan	j ɔ x	jɔx	German	Joch	228
830	*jukan	j əʊ k	jəʊk	English	yoke	228
831	*jukan	j ʉ k	jʉk	Dutch	juk	228
#
1845	*jēmraz	j eː m r a z	jeːmraz	Proto-Germanic	*jēmraz	506
1846	*jēmraz	j a m ə r	jamər	German	Jammer	506
1847	*jēmraz	j ɑ m ə r	jɑmər	Dutch	jammer	506
#
1019	*jēran	j eː r	jeːran	Proto-Germanic	*jēran	280
1020	*jēran	j aː r	jaːr	German	Jahr	280
1021	*jēran	j ɪə r	jɪər	English	year	280
1022	*jēran	j aː r	jaːr	Dutch	jaar	280
#
190	*kalbaz	k a l b a z	kalbaz	Proto-Germanic	*kalbaz	54
191	*kalbaz	k a l p	kalp	German	Kalb	54
192	*kalbaz	k ɑː f	kɑːf	English	calf	54
193	*kalbaz	k ɑ l f	kɑlf	Dutch	kalf	54
#
1677	*kambaz	k a m b a z	kambaz	Proto-Germanic	*kambaz	460
1678	*kambaz	k a m	kam	German	Kamm	460
1679	*kambaz	k əʊ m	kəʊm	English	comb	460
1680	*kambaz	k ɑ m	kɑm	Dutch	kam	460
#
421	*kernōn	k e r n oː n	kernoːn	Proto-Germanic	*kernōn	116
422	*kernōn	k ɛ r n	kɛrn	German	Kern	116
423	*kernōn	k ɛ r n	kɛrn	Dutch	kern	116
#
990	*kewwanan	k e ww a n	kewwanan	Proto-Germanic	*kewwanan	272
991	*kewwanan	k auə n	kauən	German	kauen	272
992	*kewwanan	ʧ uː	ʧuː	English	chew	272
993	*kewwanan	k ɑu ʋ ə	kɑuʋə	Dutch	kauwen	272
#
554	*klembanan	k l e m b a n	klembanan	Proto-Germanic	*klembanan	152
555	*klembanan	k l ɪ m ə n	klɪmən	German	klimmen	152
556	*klembanan	k l aɪ m	klaɪm	English	climb	152
557	*klembanan	k l ɪ m ə	klɪmə	Dutch	klimmen	152
#
1521	*klibēnan	k l i b eː n	klibeːnan	Proto-Germanic	*klibēnan	417
1522	*klibēnan	k l eː b ə n	kleːbən	German	kleben	417
1523	*klibēnan	k l eː v ə	kleːvə	Dutch	kleven	417
#
148	*knabilaz	k n a b i l a z	knabilaz	Proto-Germanic	*knabilaz	42
149	*knabilaz	k n eː b ə l	kneːbəl	German	Knebel	42
150	*knabilaz	k n eː v ə l	kneːvəl	Dutch	knevel	42
#
768	*knakkaz	k n a kk a z	knakkaz	Proto-Germanic	*knakkaz	211
769	*knakkaz	k n ɛ x t	knɛxt	German	Knecht	211
770	*knakkaz	n aɪ t	naɪt	English	knight	211
771	*knakkaz	k n ɛ x t	knɛxt	Dutch	knecht	211
#
1835	*knedanan	k n e d a n	knedanan	Proto-Germanic	*knedanan	503
1836	*knedanan	k n eː t ə n	kneːtən	German	kneten	503
1837	*knedanan	n iː d	niːd	English	knead	503
1838	*knedanan	k n eː d ə	kneːdə	Dutch	kneden	503
#
905	*knewan	k n e w	knewan	Proto-Germanic	*knewan	249
906	*knewan	k n iː	kniː	German	Knie	249
907	*knewan	n iː	niː	English	knee	249
908	*knewan	k n iː	kniː	Dutch	knie	249
#
536	*knuppaz	k n u pp a z	knuppaz	Proto-Germanic	*knuppaz	147
537	*knuppaz	k n ɔ p͡f	knɔp͡f	German	Knopf	147
538	*knuppaz	n ɔ b	nɔb	English	knob	147
539	*knuppaz	k n oː p	knoːp	Dutch	knoop	147
#
1505	*kraftiz	k r a f t i z	kraftiz	Proto-Germanic	*kraftiz	413
1506	*kraftiz	k r a f t	kraft	German	Kraft	413
1507	*kraftiz	k r ɑː f t	krɑːft	English	craft	413
1508	*kraftiz	k r ɑ x t	krɑxt	Dutch	kracht	413
#
878	*kruppaz	k r u pp a z	kruppaz	Proto-Germanic	*kruppaz	242
879	*kruppaz	k r ɔ p͡f	krɔp͡f	German	Kropf	242
880	*kruppaz	k r ɔ p	krɔp	English	crop	242
881	*kruppaz	k r ɔ p	krɔp	Dutch	krop	242
#
5	*kurnan	k u r n	kurnan	Proto-Germanic	*kurnan	2
6	*kurnan	k ɔ r n	kɔrn	German	Korn	2
7	*kurnan	k ɔː n	kɔːn	English	corn	2
8	*kurnan	k oː r ə	koːrə	Dutch	koren	2
#
598	*kwalō	k w a l oː	kwaloː	Proto-Germanic	*kwalō	165
599	*kwalō	k v aː l	kvaːl	German	Qual	165
600	*kwalō	k ʋ aː l	kʋaːl	Dutch	kwaal	165
#
1244	*kwiθuz	k w i θ u z	kwiθuz	Proto-Germanic	*kwiθuz	342
1245	*kwiθuz	k ɪ t	kɪt	German	Kitt	342
1246	*kwiθuz	k ʌ d	kʌd	English	cud	342
1247	*kwiθuz	k ɪ t	kɪt	Dutch	kit	342
#
1090	*kōwz	k oː w z	koːwz	Proto-Germanic	*kōwz	299
1091	*kōwz	k uː	kuː	German	Kuh	299
1092	*kōwz	k aʊ	kaʊ	English	cow	299
1093	*kōwz	k uː	kuː	Dutch	koe	299
#
1551	*labbaz	l a bb a z	labbaz	Proto-Germanic	*labbaz	426
1552	*labbaz	l a p ə n	lapən	German	Lappen	426
1553	*labbaz	l æ p	læp	English	lap	426
1554	*labbaz	l ɑ p	lɑp	Dutch	lap	426
#
1743	*laidjanan	l ai d j a n	laidjanan	Proto-Germanic	*laidjanan	478
1744	*laidjanan	l ai t ə n	laitən	German	leiten	478
1745	*laidjanan	l iː d	liːd	English	lead	478
1746	*laidjanan	l ɛɪ d ə	lɛɪdə	Dutch	leiden	478
#
901	*laimōn	l ai m oː n	laimoːn	Proto-Germanic	*laimōn	248
902	*laimōn	l eː m	leːm	German	Lehm	248
903	*laimōn	l əʊ m	ləʊm	English	loam	248
904	*laimōn	l eː m	leːm	Dutch	leem	248
#
1703	*laisjanan	l ai s j a n	laisjanan	Proto-Germanic	*laisjanan	467
1704	*laisjanan	l eː r ə n	leːrən	German	lehren	467
1705	*laisjanan	l eː r ə	leːrə	Dutch	leren	467
#
533	*laistjanan	l ai s t j a n	laistjanan	Proto-Germanic	*laistjanan	146
534	*laistjanan	l ai s t ə n	laistən	German	leisten	146
535	*laistjanan	l ɑː s t	lɑːst	English	last	146
#
255	*laiθaz	l ai θ a z	laiθaz	Proto-Germanic	*laiθaz	71
256	*laiθaz	l ai t	lait	German	Leid	71
257	*laiθaz	l əʊ θ	ləʊθ	English	loath	71
258	*laiθaz	l eː t	leːt	Dutch	leed	71
#
1060	*lakanan	l a k a n	lakanan	Proto-Germanic	*lakanan	291
1061	*lakanan	l a x ə n	laxən	German	lachen	291
1062	*lakanan	l ɑː f	lɑːf	English	laugh	291
1063	*lakanan	l ɑ x ə	lɑxə	Dutch	lachen	291
#
1352	*landan	l a n d	landan	Proto-Germanic	*landan	371
1353	*landan	l a n t	lant	German	Land	371
1354	*landan	l æ n d	lænd	English	land	371
1355	*landan	l ɑ n t	lɑnt	Dutch	land	371
#
1471	*landīn	l a n d iː n	landiːn	Proto-Germanic	*landīn	403
1472	*landīn	l ɛ n d ə	lɛndə	German	Lende	403
1473	*landīn	l ɛ n d ə	lɛndə	Dutch	lende	403
#
661	*lauban	l au b	lauban	Proto-Germanic	*lauban	182
662	*lauban	l au p	laup	German	Laub	182
663	*lauban	l iː f	liːf	English	leaf	182
664	*lauban	l oː f	loːf	Dutch	loof	182
#
263	*laubjanan	l au b j a n	laubjanan	Proto-Germanic	*laubjanan	73
264	*laubjanan	ɡ l au b ə n	ɡlaubən	German	glauben	73
265	*laubjanan	b ɪ l iː v	bɪliːv	English	believe	73
266	*laubjanan	x ə l oː v ə	xəloːvə	Dutch	geloven	73
#
368	*laugō	l au g oː	laugoː	Proto-Germanic	*laugō	102
369	*laugō	l au ɡ ə	lauɡə	German	Lauge	102
370	*laugō	l aɪ	laɪ	English	lye	102
371	*laugō	l oː x	loːx	Dutch	loog	102
#
784	*laukaz	l au k a z	laukaz	Proto-Germanic	*laukaz	215
785	*laukaz	l au x	laux	German	Lauch	215
786	*laukaz	l iː k	liːk	English	leek	215
787	*laukaz	l uː k	luːk	Dutch	look	215
#
1820	*launan	l au n	launan	Proto-Germanic	*launan	499
1821	*launan	l oː n	loːn	German	Lohn	499
1822	*launan	l oː n	loːn	Dutch	loon	499
#
1045	*laxstran	l a x s t r	laxstran	Proto-Germanic	*laxstran	287
1046	*laxstran	l a s t ə r	lastər	German	Laster	287
1047	*laxstran	l ɑ s t ə r	lɑstər	Dutch	laster	287
#
402	*laθōjanan	l a θ oː j a n	laθoːjanan	Proto-Germanic	*laθōjanan	111
403	*laθōjanan	l aː d ə n	laːdən	German	laden	111
404	*laθōjanan	l eɪ d	leɪd	English	lade	111
405	*laθōjanan	l aː d ə	laːdə	Dutch	laden	111
#
1724	*lendō	l e n d oː	lendoː	Proto-Germanic	*lendō	473
1725	*lendō	l ɪ n d ə	lɪndə	German	Linde	473
1726	*lendō	l ɪ n d ə n	lɪndən	English	linden	473
1727	*lendō	l ɪ n d ə	lɪndə	Dutch	linde	473
#
1842	*lesanan	l e s a n	lesanan	Proto-Germanic	*lesanan	505
1843	*lesanan	l eː z ə n	leːzən	German	lesen	505
1844	*lesanan	l eː z ə	leːzə	Dutch	lezen	505
#
1390	*leusanan	l eu s a n	leusanan	Proto-Germanic	*leusanan	381
1391	*leusanan	f ɛ r l iː r ə n	fɛrliːrən	German	verlieren	381
1392	*leusanan	f ə l ɔː n	fəlɔːn	English	forlorn	381
1393	*leusanan	v ə r l iː z ə	vərliːzə	Dutch	verliezen	381
#
525	*leuxtjanan	l eu x t j a n	leuxtjanan	Proto-Germanic	*leuxtjanan	144
526	*leuxtjanan	l ɔy x t ə n	lɔyxtən	German	leuchten	144
527	*leuxtjanan	l aɪ t	laɪt	English	light	144
528	*leuxtjanan	l ɪ x t ə	lɪxtə	Dutch	lichten	144
#
267	*leuθan	l eu θ	leuθan	Proto-Germanic	*leuθan	74
268	*leuθan	l iː t	liːt	German	Lied	74
269	*leuθan	l iː t	liːt	Dutch	lied	74
#
45	*leθran	l e θ r	leθran	Proto-Germanic	*leθran	13
46	*leθran	l eː d ə r	leːdər	German	Leder	13
47	*leθran	l ɛ ð ə r	lɛðər	English	leather	13
#
210	*librō	l i b r oː	libroː	Proto-Germanic	*librō	59
211	*librō	l eː b ə r	leːbər	German	Leber	59
212	*librō	l ɪ v ə r	lɪvər	English	liver	59
213	*librō	l eː v ə r	leːvər	Dutch	lever	59
#
614	*libēnan	l i b eː n	libeːnan	Proto-Germanic	*libēnan	170
615	*libēnan	l eː b ə n	leːbən	German	leben	170
616	*libēnan	l aɪ v	laɪv	English	live	170
617	*libēnan	l eː v ə	leːvə	Dutch	leven	170
#
1596	*likkōjanan	l i kk oː j a n	likkoːjanan	Proto-Germanic	*likkōjanan	438
1597	*likkōjanan	l ɛ k ə n	lɛkən	German	lecken	438
1598	*likkōjanan	l ɪ k	lɪk	English	lick	438
1599	*likkōjanan	l ɪ k ə	lɪkə	Dutch	likken	438
#
1421	*listiz	l i s t i z	listiz	Proto-Germanic	*listiz	389
1422	*listiz	l ɪ s t	lɪst	German	List	389
1423	*listiz	l ɪ s t	lɪst	Dutch	list	389
#
1593	*liznōjanan	l i z n oː j a n	liznoːjanan	Proto-Germanic	*liznōjanan	437
1594	*liznōjanan	l ɛ r n ə n	lɛrnən	German	lernen	437
1595	*liznōjanan	l ɜː n	lɜːn	English	learn	437
#
1638	*liθuz	l i θ u z	liθuz	Proto-Germanic	*liθuz	450
1639	*liθuz	l iː t	liːt	German	Lid	450
1640	*liθuz	l ɪ d	lɪd	English	lid	450
1641	*liθuz	l ɪ t	lɪt	Dutch	lid	450
#
680	*luban	l u b	luban	Proto-Germanic	*luban	187
681	*luban	l oː p	loːp	German	Lob	187
682	*luban	l ɔ f	lɔf	Dutch	lof	187
#
1563	*luftuz	l u f t u z	luftuz	Proto-Germanic	*luftuz	429
1564	*luftuz	l ʊ f t	lʊft	German	Luft	429
1565	*luftuz	l ʉ x t	lʉxt	Dutch	lucht	429
#
857	*lukan	l u k	lukan	Proto-Germanic	*lukan	236
858	*lukan	l ɔ x	lɔx	German	Loch	236
859	*lukan	l ɔ k	lɔk	English	lock	236
#
1147	*lukkaz	l u kk a z	lukkaz	Proto-Germanic	*lukkaz	315
1148	*lukkaz	l ɔ k ə	lɔkə	German	Locke	315
1149	*lukkaz	l ɔ k	lɔk	English	lock	315
1150	*lukkaz	l ɔ k	lɔk	Dutch	lok	315
#
889	*lungwan	l u n g w	lungwan	Proto-Germanic	*lungwan	245
890	*lungwan	l ʊ ŋ ə	lʊŋə	German	Lunge	245
891	*lungwan	l ʌ ŋ	lʌŋ	English	lung	245
892	*lungwan	l ɔ ŋ	lɔŋ	Dutch	long	245
#
1326	*lustuz	l u s t u z	lustuz	Proto-Germanic	*lustuz	364
1327	*lustuz	l ʊ s t	lʊst	German	Lust	364
1328	*lustuz	l ʌ s t	lʌst	English	lust	364
1329	*lustuz	l ʉ s t	lʉst	Dutch	lust	364
#
1635	*luxaz	l u x a z	luxaz	Proto-Germanic	*luxaz	449
1636	*luxaz	l ʊ k s	lʊks	German	Luchs	449
1637	*luxaz	l ɔ s	lɔs	Dutch	los	449
#
919	*lētanan	l eː t a n	leːtanan	Proto-Germanic	*lētanan	253
920	*lētanan	l a s ə n	lasən	German	lassen	253
921	*lētanan	l ɛ t	lɛt	English	let	253
922	*lētanan	l aː t ə	laːtə	Dutch	laten	253
#
836	*līban	l iː b	liːban	Proto-Germanic	*līban	230
837	*līban	l ai p	laip	German	Leib	230
838	*līban	l aɪ f	laɪf	English	life	230
839	*līban	l ɛɪ f	lɛɪf	Dutch	lijf	230
#
515	*līkan	l iː k	liːkan	Proto-Germanic	*līkan	141
516	*līkan	l ai x ə	laixə	German	Leiche	141
517	*līkan	l ɛɪ k	lɛɪk	Dutch	lijk	141
#
119	*līman	l iː m	liːman	Proto-Germanic	*līman	34
120	*līman	l ai m	laim	German	Leim	34
121	*līman	l aɪ m	laɪm	English	lime	34
122	*līman	l ɛɪ m	lɛɪm	Dutch	lijm	34
#
942	*līnan	l iː n	liːnan	Proto-Germanic	*līnan	259
943	*līnan	l ai n ə	lainə	German	Leine	259
944	*līnan	l aɪ n	laɪn	English	line	259
945	*līnan	l ɛɪ n	lɛɪn	Dutch	lijn	259
#
1435	*līstōn	l iː s t oː n	liːstoːn	Proto-Germanic	*līstōn	393
1436	*līstōn	l ai s t ə	laistə	German	Leiste	393
1437	*līstōn	l ɪ s t	lɪst	English	list	393
1438	*līstōn	l ɛɪ s t	lɛɪst	Dutch	lijst	393
#
1788	*līθanan	l iː θ a n	liːθanan	Proto-Germanic	*līθanan	490
1789	*līθanan	l ai d ə n	laidən	German	leiden	490
1790	*līθanan	l ɛɪ d ə	lɛɪdə	Dutch	lijden	490
#
1823	*lūsz	l uː s z	luːsz	Proto-Germanic	*lūsz	500
1824	*lūsz	l au s	laus	German	Laus	500
1825	*lūsz	l aʊ s	laʊs	English	louse	500
1826	*lūsz	l œy s	lœys	Dutch	luis	500
#
913	*magaθiz	m a g a θ i z	magaθiz	Proto-Germanic	*magaθiz	251
914	*magaθiz	m aː k t	maːkt	German	Magd	251
915	*magaθiz	m aː x t	maːxt	Dutch	maagd	251
#
1914	*maina-aiθaz	m ai n ai t	mainait	German	Meineid	525
1915	*maina-aiθaz	m ɛɪ n eː t	mɛɪneːt	Dutch	meineed	525
#
72	*mainjanan	m ai n j a n	mainjanan	Proto-Germanic	*mainjanan	21
73	*mainjanan	m ai n ə n	mainən	German	meinen	21
74	*mainjanan	m iː n	miːn	English	mean	21
75	*mainjanan	m eː n ə	meːnə	Dutch	menen	21
#
35	*maisōn	m ai s oː n	maisoːn	Proto-Germanic	*maisōn	10
36	*maisōn	m ai z ə	maizə	German	Meise	10
37	*maisōn	m eː s	meːs	Dutch	mees	10
#
1454	*makōjanan	m a k oː j a n	makoːjanan	Proto-Germanic	*makōjanan	398
1455	*makōjanan	m a x ə n	maxən	German	machen	398
1456	*makōjanan	m eɪ k	meɪk	English	make	398
1457	*makōjanan	m aː k ə	maːkə	Dutch	maken	398
#
281	*malanan	m a l a n	malanan	Proto-Germanic	*malanan	78
282	*malanan	m aː l ə n	maːlən	German	mahlen	78
283	*malanan	m aː l ə	maːlə	Dutch	malen	78
#
986	*maltaz	m a l t a z	maltaz	Proto-Germanic	*maltaz	271
987	*maltaz	m a l t͡s	malt͡s	German	Malz	271
988	*maltaz	m ɔː l t	mɔːlt	English	malt	271
989	*maltaz	m ɑu t	mɑut	Dutch	mout	271
#
41	*markō	m a r k oː	markoː	Proto-Germanic	*markō	12
42	*markō	m a r k	mark	German	Mark	12
43	*markō	m ɑː ʧ	mɑːʧ	English	march	12
44	*markō	m ɑ r k	mɑrk	Dutch	mark	12
#
1925	*marīn	m a r iː n	mariːn	Proto-Germanic	*marīn	529
1926	*marīn	m a n	man	German	Mann	529
1927	*marīn	m æ n	mæn	English	man	529
1928	*marīn	m ɑ n	mɑn	Dutch	man	529
#
127	*marōn	m a r oː n	maroːn	Proto-Germanic	*marōn	36
128	*marōn	m aː r	maːr	German	Mahr	36
129	*marōn	n aɪ t m ɛə r	naɪtmɛər	English	nightmare	36
130	*marōn	n ɑ x t m ɛ r iː	nɑxtmɛriː	Dutch	nachtmerrie	36
#
1709	*mastaz	m a s t a z	mastaz	Proto-Germanic	*mastaz	469
1710	*mastaz	m a s t	mast	German	Mast	469
1711	*mastaz	m ɑː s t	mɑːst	English	mast	469
1712	*mastaz	m ɑ s t	mɑst	Dutch	mast	469
#
1573	*maxtiz	m a x t i z	maxtiz	Proto-Germanic	*maxtiz	432
1574	*maxtiz	m a x t	maxt	German	Macht	432
1575	*maxtiz	m aɪ t	maɪt	English	might	432
1576	*maxtiz	m ɑ x t	mɑxt	Dutch	macht	432
#
376	*medjaz	m e d j a z	medjaz	Proto-Germanic	*medjaz	104
377	*medjaz	m ɪ t ə	mɪtə	German	Mitte	104
378	*medjaz	m ɪ d ə	mɪdə	Dutch	midden	104
#
642	*meldōn	m e l d oː n	meldoːn	Proto-Germanic	*meldōn	177
643	*meldōn	m ɛ l d ə	mɛldə	German	Melde	177
644	*meldōn	d aɪə l	daɪəl	English	dial	177
645	*meldōn	m ɛ l d ə	mɛldə	Dutch	melde	177
#
665	*melukz	m e l u k z	melukz	Proto-Germanic	*melukz	183
666	*melukz	m ɪ l x	mɪlx	German	Milch	183
667	*melukz	m ɪ l k	mɪlk	English	milk	183
668	*melukz	m ɛ l k	mɛlk	Dutch	melk	183
#
1222	*metanan	m e t a n	metanan	Proto-Germanic	*metanan	336
1223	*metanan	m ɛ s ə n	mɛsən	German	messen	336
1224	*metanan	m eː t ə	meːtə	Dutch	meten	336
#
1774	*mixstilaz	m i x s t i l a z	mixstilaz	Proto-Germanic	*mixstilaz	486
1775	*mixstilaz	m ɪ s t ə l	mɪstəl	German	Mistel	486
1776	*mixstilaz	m ɪ s t ə l	mɪstəl	Dutch	mistel	486
#
1906	*mixstuz	m i x s t u z	mixstuz	Proto-Germanic	*mixstuz	523
1907	*mixstuz	m ɪ s t	mɪst	German	Mist	523
1908	*mixstuz	m ɛ s t	mɛst	Dutch	mest	523
#
646	*mizdō	m i z d oː	mizdoː	Proto-Germanic	*mizdō	178
647	*mizdō	m iː t ə	miːtə	German	Miete	178
648	*mizdō	m iː d	miːd	English	meed	178
#
236	*mēlan	m eː l	meːlan	Proto-Germanic	*mēlan	66
237	*mēlan	m aː l	maːl	German	Mal	66
238	*mēlan	m iː l	miːl	English	meal	66
239	*mēlan	m aː l	maːl	Dutch	maal	66
#
757	*mēnōθz	m eː n oː θ z	meːnoːθz	Proto-Germanic	*mēnōθz	208
758	*mēnōθz	m oː n aː t	moːnaːt	German	Monat	208
759	*mēnōθz	m ʌ n θ	mʌnθ	English	month	208
760	*mēnōθz	m aː n t	maːnt	Dutch	maand	208
#
716	*mōdaz	m oː d a z	moːdaz	Proto-Germanic	*mōdaz	197
717	*mōdaz	m uː t	muːt	German	Mut	197
718	*mōdaz	m uː d	muːd	English	mood	197
719	*mōdaz	m uː t	muːt	Dutch	moed	197
#
1617	*mōdēr	m oː d eː r	moːdeːr	Proto-Germanic	*mōdēr	444
1618	*mōdēr	m ʊ t ə r	mʊtər	German	Mutter	444
1619	*mōdēr	m ʌ ð ə r	mʌðər	English	mother	444
1620	*mōdēr	m uː d ə r	muːdər	Dutch	moeder	444
#
171	*mōsan	m oː s	moːsan	Proto-Germanic	*mōsan	49
172	*mōsan	m uː s	muːs	German	Mus	49
173	*mōsan	m uː s	muːs	Dutch	moes	49
#
1064	*mūlōn	m uː l oː n	muːloːn	Proto-Germanic	*mūlōn	292
1065	*mūlōn	m au l	maul	German	Maul	292
1066	*mūlōn	m œy l	mœyl	Dutch	muil	292
#
428	*nablōn	n a b l oː n	nabloːn	Proto-Germanic	*nablōn	118
429	*nablōn	n aː b ə l	naːbəl	German	Nabel	118
430	*nablōn	n eɪ v ḷ	neɪvḷ	English	navel	118
431	*nablōn	n aː v ə l	naːvəl	Dutch	navel	118
#
626	*nabō	n a b oː	naboː	Proto-Germanic	*nabō	173
627	*nabō	n aː b ə	naːbə	German	Nabe	173
628	*nabō	n eɪ v	neɪv	English	nave	173
629	*nabō	n aː f	naːf	Dutch	naaf	173
#
1577	*naglaz	n a g l a z	naglaz	Proto-Germanic	*naglaz	433
1578	*naglaz	n aː ɡ ə l	naːɡəl	German	Nagel	433
1579	*naglaz	n eɪ l	neɪl	English	nail	433
1580	*naglaz	n aː ɣ ə l	naːɣəl	Dutch	nagel	433
#
79	*namōn	n a m oː n	namoːn	Proto-Germanic	*namōn	23
80	*namōn	n aː m ə	naːmə	German	Name	23
81	*namōn	n eɪ m	neɪm	English	name	23
82	*namōn	n aː m	naːm	Dutch	naam	23
#
1731	*nasō	n a s oː	nasoː	Proto-Germanic	*nasō	475
1732	*nasō	n aː z ə	naːzə	German	Nase	475
1733	*nasō	n əʊ z	nəʊz	English	nose	475
1734	*nasō	n øː s	nøːs	Dutch	neus	475
#
571	*natilōn	n a t i l oː n	natiloːn	Proto-Germanic	*natilōn	157
572	*natilōn	n ɛ s ə l	nɛsəl	German	Nessel	157
573	*natilōn	n ɛ t ḷ	nɛtḷ	English	nettle	157
#
465	*natjan	n a t j	natjan	Proto-Germanic	*natjan	128
466	*natjan	n ɛ t͡s	nɛt͡s	German	Netz	128
467	*natjan	n ɛ t	nɛt	English	net	128
468	*natjan	n ɛ t	nɛt	Dutch	net	128
#
480	*naudiz	n au d i z	naudiz	Proto-Germanic	*naudiz	132
481	*naudiz	n oː t	noːt	German	Not	132
482	*naudiz	n iː d	niːd	English	need	132
483	*naudiz	n oː t	noːt	Dutch	nood	132
#
1538	*naxtz	n a x t z	naxtz	Proto-Germanic	*naxtz	422
1539	*naxtz	n a x t	naxt	German	Nacht	422
1540	*naxtz	n aɪ t	naɪt	English	night	422
1541	*naxtz	n ɑ x t	nɑxt	Dutch	nacht	422
#
1122	*nebulō	n e b u l oː	nebuloː	Proto-Germanic	*nebulō	308
1123	*nebulō	n eː b ə l	neːbəl	German	Nebel	308
1124	*nebulō	n eː v ə l	neːvəl	Dutch	nevel	308
#
1016	*nefōd	n e f oː d	nefoːd	Proto-Germanic	*nefōd	279
1017	*nefōd	n ɛ f ə	nɛfə	German	Neffe	279
1018	*nefōd	n eː f	neːf	Dutch	neef	279
#
